Equipment_ID,Equipment_Type,Age_Years,Operating_Hours,Failures_Last_Year,Maintenance_Due,Temperature,Vibration,Pressure,Inspection_Score,Previous_Incidents,Risk_Level
C0053,Compressor,17,1207,1,1,88.9,4.1,7.7,49,1,MEDIUM
T0054,Turbine,20,3665,2,0,94.1,4.7,10.1,61,0,MEDIUM
B0055,Boiler,9,3493,2,1,66.5,4.9,4.4,80,0,LOW
P0056,Pump,17,7813,0,1,82.5,4.2,7.6,61,0,LOW
C0057,Compressor,20,1632,2,1,81.5,7.2,10.8,69,1,HIGH
M0058,Motor,8,11294,0,0,65,3.1,7.4,72,0,LOW
C0059,Compressor,17,12151,3,0,97.7,6.9,10.4,63,5,HIGH
M0060,Motor,7,4083,2,0,77.9,2.5,6.7,89,1,LOW
M0061,Motor,1,13944,5,1,71.6,7.9,8.5,77,2,HIGH
C0062,Compressor,13,14711,1,0,69.7,4.5,7.4,71,2,LOW
T0063,Turbine,19,11123,1,0,91.7,6.4,4,59,0,MEDIUM
M0064,Motor,19,4719,0,0,83.7,3.8,5.2,69,0,LOW
M0065,Motor,17,8123,1,0,64.9,5.6,5.7,72,0,LOW
C0066,Compressor,13,11754,2,0,86.8,3.8,8.8,73,1,MEDIUM
M0067,Motor,16,2679,0,0,78.8,4.9,8.3,80,1,LOW
M0068,Motor,8,1236,2,0,82.6,4.2,8.1,69,1,MEDIUM
C0069,Compressor,19,8446,3,0,83.7,7,9.1,52,0,MEDIUM
C0070,Compressor,18,5443,2,1,62.6,6.9,7.4,44,0,MEDIUM
P0071,Pump,1,7770,6,1,76.7,4.9,10.6,63,3,HIGH
T0072,Turbine,14,13917,2,1,84.3,4.7,7.6,67,0,MEDIUM
T0073,Turbine,19,10732,3,1,79,7.5,8,47,0,HIGH
M0074,Motor,15,7099,1,0,72.7,7.5,6.9,90,0,LOW
T0075,Turbine,18,13135,0,0,104,4.5,8,69,0,LOW
M0076,Motor,2,14559,2,1,61.6,4.4,7,81,3,MEDIUM
P0077,Pump,17,9555,0,0,86.3,4.4,8.5,70,1,LOW
C0078,Compressor,18,3368,2,0,82.8,8.4,5.9,54,2,HIGH
C0079,Compressor,6,1285,0,0,47.3,0.8,5.4,89,0,LOW
C0080,Compressor,19,1148,1,0,85.1,5.7,8.3,71,1,MEDIUM
T0081,Turbine,4,14395,2,0,64.9,2,7.5,86,1,LOW
P0082,Pump,1,5037,2,0,59.3,0.5,6.9,84,2,LOW
T0083,Turbine,8,7549,1,0,69.1,4.3,8.6,74,0,LOW
T0084,Turbine,7,8121,1,1,70.6,3.9,6.4,72,0,LOW
P0085,Pump,3,13743,3,0,67.3,4.2,7.6,83,2,MEDIUM
P0086,Pump,10,10958,0,0,59.9,3.4,9.1,92,0,LOW
P0087,Pump,10,5895,1,0,76.9,7.9,9.6,67,0,MEDIUM
P0088,Pump,19,6280,0,1,67.9,4.5,9.4,55,0,LOW
C0089,Compressor,14,2012,2,0,65.6,6.1,7.2,68,0,LOW
B0090,Boiler,2,12023,1,0,66.9,2.2,9.1,78,1,LOW
B0091,Boiler,1,11699,3,0,69.6,4.6,6.5,80,2,MEDIUM
P0092,Pump,18,10715,4,0,93.5,7.2,6.8,46,1,HIGH
B0093,Boiler,7,3785,1,1,57.3,3.3,3.8,69,1,LOW
B0094,Boiler,8,11748,1,1,64.3,6.1,9.8,75,2,MEDIUM
P0095,Pump,1,4725,4,0,66.4,6.4,6.9,81,0,MEDIUM
B0096,Boiler,3,5576,1,0,49.7,3.3,7.1,86,0,LOW
T0097,Turbine,8,6782,1,1,64.1,1.1,5.9,77,0,LOW
M0098,Motor,15,7257,1,0,85.7,4.5,8.3,83,1,LOW
M0099,Motor,5,10793,3,0,82.9,8.1,7.3,92,0,MEDIUM
P0100,Pump,3,3408,0,0,56.1,2.2,5,79,0,LOW
C0101,Compressor,19,1340,2,1,95.6,7.6,8.3,54,0,HIGH
P0102,Pump,1,3817,4,0,53.2,6.7,6,81,2,MEDIUM
C0103,Compressor,15,3496,1,0,85.8,5.2,6,70,0,LOW
M0104,Motor,8,6962,1,1,63.6,2.9,4.1,70,0,LOW
P0105,Pump,2,14122,2,0,66.5,0.8,5.5,89,0,LOW
T0106,Turbine,3,6299,5,0,72.5,6.8,8.8,76,3,HIGH
B0107,Boiler,14,10917,1,1,89.6,3.8,4.4,58,0,MEDIUM
C0108,Compressor,14,8574,4,0,81,7.1,6,52,2,HIGH
B0109,Boiler,11,2689,4,0,88.5,5,8.2,61,2,HIGH
B0110,Boiler,16,4267,1,0,79.8,4.8,6.5,69,0,LOW
P0111,Pump,4,5406,1,0,62.7,3.3,10.3,94,0,LOW
B0112,Boiler,20,9453,2,0,89.5,6.7,10.4,63,1,MEDIUM
T0113,Turbine,5,2442,4,0,67.7,4.2,6.9,71,2,MEDIUM
B0114,Boiler,14,9597,3,0,84.9,7.6,8.7,65,0,MEDIUM
P0115,Pump,16,11382,0,1,78.5,3.7,8.1,71,0,LOW
T0116,Turbine,18,5437,4,0,95.9,5.5,7.3,61,0,MEDIUM
M0117,Motor,7,6435,3,0,75.2,5,5.7,75,1,MEDIUM
B0118,Boiler,10,9435,1,0,79.4,4.2,7.3,76,1,LOW
P0119,Pump,7,13777,3,1,81.9,5.3,7.6,69,1,MEDIUM
M0120,Motor,1,5107,0,0,48.1,3.8,6.3,89,0,LOW
M0121,Motor,19,1560,1,0,93.5,5.3,8,60,0,MEDIUM
C0122,Compressor,16,13329,2,0,75.5,5.7,6.5,69,3,MEDIUM
T0123,Turbine,19,11917,1,0,91.2,4.2,5.6,67,1,MEDIUM
B0124,Boiler,4,9785,3,0,75,5.7,8.1,79,1,MEDIUM
P0125,Pump,18,6548,0,1,66.7,4.9,7.6,61,0,LOW
C0126,Compressor,2,2826,3,0,67.7,3.9,6.1,78,0,LOW
T0127,Turbine,1,12421,5,0,67.8,3.4,9.9,84,2,MEDIUM
C0128,Compressor,15,12479,0,0,71.4,6,4.3,72,0,LOW
T0129,Turbine,5,13265,1,1,76.3,2,6.4,77,1,LOW
T0130,Turbine,20,14981,2,0,85.8,5.7,7.2,53,0,MEDIUM
B0131,Boiler,11,8629,1,0,68,4.8,6.3,76,1,LOW
T0132,Turbine,10,9325,2,0,76.6,3.5,6.8,70,0,LOW
C0133,Compressor,2,4138,2,0,69.5,1.9,10.4,94,0,LOW
T0134,Turbine,3,13111,0,0,58.4,0.5,5.7,91,0,LOW
B0135,Boiler,12,14235,3,0,91.3,6.8,11.6,79,0,MEDIUM
B0136,Boiler,20,8693,0,0,89.2,4.3,7.7,76,0,LOW
C0137,Compressor,5,9264,1,0,48.1,7,7.4,80,0,LOW
M0138,Motor,5,13686,1,0,61.3,2.3,8,88,0,LOW
M0139,Motor,6,14716,4,0,71.5,4.6,12,68,3,MEDIUM
T0140,Turbine,9,8842,1,0,75.3,3.4,5.8,77,0,LOW
P0141,Pump,2,7721,3,1,46,4.7,6.2,92,1,MEDIUM
T0142,Turbine,12,8002,1,1,96.4,3.9,6.2,64,1,MEDIUM
C0143,Compressor,3,5225,3,1,72.7,5.3,7.9,77,1,MEDIUM
C0144,Compressor,20,3978,1,1,89.2,4.5,4.7,56,0,MEDIUM
C0145,Compressor,12,8373,1,0,85.5,2.8,7.3,66,1,LOW
C0146,Compressor,17,6907,4,1,111.2,5.2,10.7,39,1,HIGH
C0147,Compressor,10,7097,0,0,77,0.8,7.2,72,0,LOW
B0148,Boiler,14,13553,2,0,89.6,4.9,7.2,60,0,MEDIUM
M0149,Motor,17,6656,1,0,84.5,4.9,6.4,43,0,LOW
C0150,Compressor,18,11177,1,0,83.9,4.6,8.6,68,0,LOW
P0151,Pump,19,9984,2,1,85.7,7.7,6.4,66,0,MEDIUM
P0152,Pump,17,14600,1,0,76.9,6.7,10.1,67,0,LOW
P0153,Pump,14,5259,2,0,76.5,5.1,10.5,55,0,LOW
P0154,Pump,9,9286,1,1,60.7,1.9,7.7,67,0,LOW
B0155,Boiler,8,6901,2,0,72.4,3.9,7.6,74,0,LOW
P0156,Pump,2,10325,0,0,45,1.6,8.5,88,0,LOW
C0157,Compressor,13,5917,1,1,79,3.9,8.9,71,0,LOW
T0158,Turbine,7,9429,4,0,77.2,5,7,78,0,MEDIUM
P0159,Pump,9,12138,3,0,78.7,4.7,7.1,63,0,MEDIUM
B0160,Boiler,11,3530,2,0,73.3,4.6,5.6,78,1,LOW
B0161,Boiler,14,2960,2,0,106.6,4.7,8.2,79,1,MEDIUM
P0162,Pump,4,8045,1,1,74.9,3.5,8.3,96,0,LOW
T0163,Turbine,13,2048,5,0,79.5,7.9,6.5,80,4,HIGH
P0164,Pump,2,6772,0,0,59.9,1.2,6.3,89,0,LOW
B0165,Boiler,5,3529,2,0,63.6,5.7,5.6,100,0,LOW
M0166,Motor,11,3964,3,0,72.4,4.6,6.6,65,1,MEDIUM
C0167,Compressor,6,8137,1,1,56.3,1.7,8.1,72,0,LOW
B0168,Boiler,18,1963,1,0,88.5,5.9,6.2,66,0,MEDIUM
P0169,Pump,10,1536,0,0,64.5,2.5,6.5,77,0,LOW
C0170,Compressor,4,14891,4,0,80.7,5.8,5.8,80,0,MEDIUM
P0171,Pump,9,8340,3,1,85.5,2.6,8.2,53,1,MEDIUM
P0172,Pump,6,8179,2,1,81,6,7.5,71,0,MEDIUM
M0173,Motor,2,8967,0,0,51.2,3.1,5.9,100,0,LOW
C0174,Compressor,17,13415,2,0,90.3,4.1,7.3,61,1,MEDIUM
C0175,Compressor,5,12871,3,0,76.6,3.1,8.2,80,1,MEDIUM
M0176,Motor,6,13379,2,1,66.2,6.3,6.4,77,2,MEDIUM
B0177,Boiler,12,12916,0,0,66.8,2.9,4.8,88,0,LOW
P0178,Pump,10,9734,0,1,82.9,2.5,9.7,61,0,LOW
T0179,Turbine,6,1845,1,0,68.8,0.9,6.4,90,0,LOW
P0180,Pump,8,12795,1,1,75.1,3.5,7.2,71,1,LOW
P0181,Pump,2,6777,1,0,54.4,2.7,8.8,94,0,LOW
B0182,Boiler,12,4036,0,0,63.2,4.7,12.3,87,0,LOW
P0183,Pump,13,6947,0,0,69.9,2.3,5.1,67,0,LOW
M0184,Motor,7,3494,2,0,70.5,2.6,8.3,71,1,LOW
M0185,Motor,10,13677,2,1,67.5,5.4,6.5,51,2,MEDIUM
C0186,Compressor,13,3719,3,1,83.4,7.3,7.1,52,0,HIGH
T0187,Turbine,17,2884,3,1,76,4.8,6.8,60,1,MEDIUM
P0188,Pump,14,13330,1,0,70,6.1,5.6,70,0,LOW
P0189,Pump,2,5349,0,0,63.4,2.3,6.9,86,0,LOW
B0190,Boiler,11,12393,2,1,82.3,6.4,5.4,60,1,MEDIUM
M0191,Motor,1,6179,1,0,56.4,2.8,8.7,82,0,LOW
T0192,Turbine,19,11902,2,0,81.4,3.2,7.7,49,0,MEDIUM
C0193,Compressor,4,7610,1,0,55.8,3.1,7.9,92,1,LOW
M0194,Motor,19,7430,0,0,80.5,6.1,6.3,56,0,LOW
C0195,Compressor,11,8154,3,0,85.7,4.7,7.3,77,1,MEDIUM
B0196,Boiler,8,14828,0,0,74.4,2.7,7.4,85,0,LOW
B0197,Boiler,11,11145,4,0,79.5,6.2,6.5,65,1,MEDIUM
P0198,Pump,4,7488,1,1,54.8,0.5,6.8,79,1,LOW
T0199,Turbine,17,5737,1,0,85.6,7.3,6,72,1,MEDIUM
C0200,Compressor,7,7525,3,0,67.9,4.1,6.6,82,2,MEDIUM
M0201,Motor,8,4850,6,0,80.9,8,5.6,64,4,HIGH
B0202,Boiler,3,1689,1,1,73.1,3,9.3,87,0,LOW
P0203,Pump,2,14564,1,0,67.6,4.5,6.3,91,0,LOW
P0204,Pump,15,11142,3,0,87.8,6.8,9.6,65,0,MEDIUM
C0205,Compressor,5,6175,3,0,61.3,4.6,9.5,76,1,LOW
B0206,Boiler,1,14774,1,0,61.2,1.8,5.4,94,0,LOW
T0207,Turbine,4,9648,2,0,75.5,5,6,83,1,LOW
B0208,Boiler,15,6078,2,1,80.5,3.4,11.4,53,0,MEDIUM
C0209,Compressor,20,11322,0,1,95.8,5.8,9.6,50,0,MEDIUM
C0210,Compressor,19,13168,0,0,93.8,3.5,7,70,0,LOW
B0211,Boiler,3,14410,2,0,78.8,5.4,8,97,1,LOW
C0212,Compressor,20,13436,2,1,93.4,6.6,6.7,57,0,HIGH
B0213,Boiler,11,6448,2,0,82.2,5.8,8.2,62,0,MEDIUM
M0214,Motor,17,2179,2,1,97.8,6,6.5,64,1,HIGH
B0215,Boiler,13,13477,2,0,84.1,3.2,4.6,66,1,MEDIUM
B0216,Boiler,11,12757,1,1,70.5,3.3,5.3,73,1,LOW
C0217,Compressor,2,10074,1,1,57.4,3.8,7.3,77,0,LOW
C0218,Compressor,9,7406,4,1,82.4,6.3,6.5,61,1,HIGH
P0219,Pump,2,9591,4,1,59.7,6.5,8.1,75,2,HIGH
P0220,Pump,9,7907,2,0,73.4,5.2,6,64,1,LOW
M0221,Motor,9,9800,2,1,83.3,3.6,6.4,73,0,MEDIUM
P0222,Pump,8,2638,2,0,55.5,3.6,8.9,88,1,LOW
B0223,Boiler,17,6671,7,0,113.8,9.6,9.5,40,1,HIGH
C0224,Compressor,1,7928,2,1,71.5,0.8,7.6,93,0,LOW
P0225,Pump,11,11340,2,1,73.8,7.1,8.9,63,0,MEDIUM
P0226,Pump,8,2382,3,1,80.3,5.8,8.6,72,0,MEDIUM
M0227,Motor,10,2403,0,0,70,5,9.2,64,0,LOW
M0228,Motor,7,10011,2,1,81.3,2.6,6.9,91,0,MEDIUM
B0229,Boiler,3,4292,1,1,70.4,4.6,6.7,95,1,LOW
C0230,Compressor,3,10011,3,0,57.3,7.2,5.9,80,2,MEDIUM
M0231,Motor,18,1419,1,0,89.7,3.8,6.7,48,0,LOW
P0232,Pump,5,13411,2,0,66.9,5.1,9,85,2,LOW
C0233,Compressor,12,5517,1,0,76.7,4.5,9.2,63,0,LOW
C0234,Compressor,12,4302,2,1,73.2,3.3,9,66,0,MEDIUM
P0235,Pump,19,8857,2,0,103.5,6.8,4.9,61,1,HIGH
M0236,Motor,6,10700,4,1,84.3,6.7,9.8,58,1,HIGH
P0237,Pump,2,8870,2,1,58.1,3,4.8,89,2,MEDIUM
C0238,Compressor,12,6693,2,0,68.3,6.6,8.9,77,1,MEDIUM
T0239,Turbine,19,1767,2,1,86.4,4.2,7,58,0,MEDIUM
T0240,Turbine,5,3044,1,0,69,1.7,8.4,87,2,LOW
B0241,Boiler,12,11331,0,1,74.9,4,5,59,0,LOW
P0242,Pump,17,12221,0,0,90.5,4.6,8.8,77,0,LOW
P0243,Pump,17,2549,1,1,89.8,4.4,5.1,55,0,MEDIUM
B0244,Boiler,10,10956,2,0,83.8,5.9,6.6,63,0,MEDIUM
B0245,Boiler,17,7140,2,0,89.1,6.6,6.1,72,0,MEDIUM
B0246,Boiler,15,11837,2,1,72.4,6.7,5,74,2,MEDIUM
C0247,Compressor,12,4716,5,0,86.4,7.2,8.6,58,0,HIGH
P0248,Pump,16,13797,1,0,90.5,5.8,10,84,1,MEDIUM
C0249,Compressor,19,14494,1,0,86.1,5,11.3,63,0,LOW
B0250,Boiler,8,5481,2,1,77,7.1,7.7,67,0,MEDIUM
P0251,Pump,17,14885,0,0,78,3.6,8.7,64,0,LOW
C0252,Compressor,5,8898,0,0,54.3,5.3,7.3,100,1,LOW
C0253,Compressor,16,7548,3,0,87,6.5,8.6,53,1,MEDIUM
B0254,Boiler,6,3293,3,0,75.5,3.3,7.4,83,2,MEDIUM
P0255,Pump,8,5837,1,0,64.8,5.5,7.6,77,0,LOW
B0256,Boiler,18,8758,2,0,86.1,6.3,8.4,56,1,MEDIUM
P0257,Pump,12,11900,1,0,68.5,5.5,6.4,83,0,LOW
T0258,Turbine,15,7793,0,0,86.5,5.7,6.9,70,0,LOW
M0259,Motor,9,8638,1,0,69.1,4.5,7.2,77,0,LOW
M0260,Motor,13,8993,2,1,92.1,4.6,8.8,70,1,MEDIUM
M0261,Motor,15,7007,2,0,95.7,6.8,6,78,1,MEDIUM
B0262,Boiler,10,6542,1,0,72.4,4.2,7.2,83,0,LOW
T0263,Turbine,16,10092,0,1,70.9,5.2,9.9,58,1,LOW
P0264,Pump,7,12276,2,0,54.8,1.9,9.3,75,1,LOW
C0265,Compressor,17,7356,4,1,80.7,7.9,10.2,46,2,HIGH
P0266,Pump,7,11201,3,0,63.5,4.4,7.9,78,2,MEDIUM
C0267,Compressor,14,9433,5,0,102,9.6,9,47,2,HIGH
P0268,Pump,15,8380,2,0,84.4,6.4,9.1,71,0,MEDIUM
T0269,Turbine,7,3385,2,1,74.6,4.7,9.9,72,0,LOW
C0270,Compressor,9,5268,3,1,59.7,6,5,50,1,MEDIUM
B0271,Boiler,19,1671,1,0,76.9,4.4,5.3,54,0,LOW
P0272,Pump,16,1163,2,0,92.1,7.7,9.6,59,1,MEDIUM
P0273,Pump,8,9656,0,1,69.3,5.6,6.6,77,0,LOW
C0274,Compressor,18,12234,2,0,86.8,6.6,6.6,75,1,MEDIUM
B0275,Boiler,18,5592,5,0,101.5,10.1,6.6,50,1,HIGH
B0276,Boiler,20,5795,3,1,107.1,6.4,7.1,37,1,HIGH
T0277,Turbine,7,11634,1,1,66.7,2.8,5.2,77,1,LOW
B0278,Boiler,3,5798,1,0,63.1,3.2,10.4,88,1,LOW
B0279,Boiler,18,7036,6,1,101.5,9.4,8.8,38,4,HIGH
B0280,Boiler,10,3355,1,1,92.1,3.7,7.2,75,0,MEDIUM
M0281,Motor,7,6887,3,0,57.7,5.8,8.8,85,0,LOW
T0282,Turbine,17,13470,1,0,89,5.6,8.7,65,0,LOW
P0283,Pump,14,13916,3,0,84.1,5,9.3,76,2,MEDIUM
C0284,Compressor,3,8961,4,1,76,5.9,9.8,78,2,HIGH
P0285,Pump,12,11749,3,1,76.7,6.9,7,53,0,MEDIUM
T0286,Turbine,13,6827,3,0,83.1,6.3,7.5,82,3,HIGH
C0287,Compressor,2,9737,1,1,66.7,4.4,8.5,87,0,LOW
T0288,Turbine,3,14875,1,0,87.4,1.7,6.5,84,0,LOW
B0289,Boiler,5,5719,3,0,78,5.4,7.9,92,2,MEDIUM
C0290,Compressor,11,13027,4,0,76.7,5,8.8,81,4,HIGH
B0291,Boiler,8,1593,1,0,66.6,2.6,8.5,81,1,LOW
P0292,Pump,12,5839,1,1,72.4,3.7,4.6,62,0,LOW
P0293,Pump,7,8394,1,0,54.1,2.6,8.4,82,2,LOW
C0294,Compressor,15,12996,2,1,80.9,5,7.2,63,1,MEDIUM
C0295,Compressor,17,10651,1,0,89.4,5,8.4,76,1,MEDIUM
T0296,Turbine,4,4493,2,0,56.8,5,8.8,89,1,LOW
T0297,Turbine,13,11793,2,1,88.9,5,10,61,0,MEDIUM
B0298,Boiler,18,7164,3,0,94.9,4.9,9.9,68,1,MEDIUM
C0299,Compressor,1,11636,1,0,53.6,4.2,9.3,92,1,LOW
P0300,Pump,16,3672,2,0,83.9,4.8,9.8,71,1,MEDIUM
T0301,Turbine,13,5200,1,1,90.3,4.6,7.7,62,1,MEDIUM
T0302,Turbine,10,1016,2,0,81.9,5.4,7.6,77,1,MEDIUM
P0303,Pump,12,4191,1,0,76.1,4.7,8.6,73,0,LOW
T0304,Turbine,2,1392,1,0,59.1,4.3,8.4,92,2,LOW
B0305,Boiler,3,9616,3,0,69.1,5.1,7.4,80,2,MEDIUM
C0306,Compressor,10,7272,1,1,68.9,3.2,7.9,81,1,LOW
P0307,Pump,2,1571,1,0,45,5.6,7.2,87,1,LOW
C0308,Compressor,13,4631,1,0,93.8,4.9,6,67,0,LOW
T0309,Turbine,13,7172,3,0,84.7,5.9,9.8,82,1,MEDIUM
T0310,Turbine,18,10312,0,0,85.2,5.9,7.1,75,0,LOW
P0311,Pump,3,8177,0,1,59,2.7,10.1,68,0,LOW
B0312,Boiler,7,9433,2,0,65.6,4.9,5.2,75,0,LOW
M0313,Motor,14,4897,3,1,83.5,9.2,7.1,40,0,HIGH
P0314,Pump,20,13287,0,0,72.2,4.7,7,56,0,LOW
M0315,Motor,17,9123,2,0,104.7,5.6,9.3,36,1,MEDIUM
M0316,Motor,12,3279,2,1,69.1,5.3,8.2,61,2,MEDIUM
B0317,Boiler,16,9980,1,0,73.7,6.4,7.8,58,1,MEDIUM
M0318,Motor,12,8451,2,1,75.5,3.4,5.9,63,0,MEDIUM
M0319,Motor,15,9906,0,1,87.8,1.9,5.3,52,0,LOW
B0320,Boiler,10,14046,3,0,79.1,4.9,8.4,71,2,MEDIUM
M0321,Motor,7,12041,3,0,64.6,3.2,5.9,72,1,LOW
M0322,Motor,20,1775,0,1,95,4.5,6.2,68,0,MEDIUM
M0323,Motor,5,13218,1,0,71.3,4.1,8.1,98,0,LOW
P0324,Pump,1,7869,3,0,69.8,3.2,6.4,92,2,MEDIUM
P0325,Pump,17,3247,1,0,89.2,3.5,9.7,63,0,LOW
P0326,Pump,3,8088,1,0,81.7,3.2,9.1,100,1,LOW
B0327,Boiler,13,1078,0,1,92,5,4.6,56,0,MEDIUM
T0328,Turbine,14,9080,1,0,73.5,2.8,5.9,60,0,LOW
M0329,Motor,18,8099,3,0,104,7.8,4.5,55,0,HIGH
M0330,Motor,4,4926,2,0,70.1,5,6.4,100,1,LOW
B0331,Boiler,18,10047,3,0,95,7.9,9,54,3,HIGH
M0332,Motor,5,8340,1,0,52,4.9,6.7,86,1,LOW
P0333,Pump,16,14727,2,1,83.6,8.4,8.3,44,0,HIGH
T0334,Turbine,1,8083,0,0,50,1.7,4.7,100,0,LOW
C0335,Compressor,14,7230,1,1,85.6,4.9,8.5,70,0,MEDIUM
M0336,Motor,15,11340,1,1,89.1,4.5,6.5,67,1,MEDIUM
P0337,Pump,9,10223,0,0,51.9,3.4,7,79,0,LOW
C0338,Compressor,15,5940,3,0,86.3,8.2,7.8,55,1,HIGH
T0339,Turbine,17,4271,0,0,89.5,2.9,5.1,59,0,LOW
C0340,Compressor,4,12768,6,0,77.5,5.8,7.1,69,1,HIGH
P0341,Pump,12,13374,4,1,90.8,8.3,9.7,46,1,HIGH
C0342,Compressor,5,4456,3,1,74.3,6.1,8.5,62,1,MEDIUM
B0343,Boiler,5,8788,1,0,68.2,3,8.9,84,0,LOW
C0344,Compressor,11,12698,4,0,81.3,7.5,8.7,60,0,MEDIUM
M0345,Motor,6,9599,2,1,60.3,4.7,7.8,69,0,LOW
M0346,Motor,7,8650,3,1,65.5,7,5.3,71,0,MEDIUM
B0347,Boiler,14,3711,2,0,87.7,5.6,7.2,67,1,MEDIUM
P0348,Pump,11,12280,0,0,71.7,4.9,7,78,0,LOW
M0349,Motor,13,2668,1,0,76.4,7.8,10.2,74,0,LOW
T0350,Turbine,2,1147,0,1,54.6,3,8,80,1,LOW
M0351,Motor,7,7420,2,0,69.1,4.5,9.9,80,2,LOW
M0352,Motor,20,13519,3,0,102.4,8,8.8,53,1,HIGH
P0353,Pump,4,13089,0,0,58.3,2.2,5.9,81,0,LOW
C0354,Compressor,8,11142,0,0,56.3,6.1,7.2,94,0,LOW
M0355,Motor,20,1365,0,0,90.9,5.2,7.4,57,0,LOW
B0356,Boiler,19,10866,1,1,84.9,5.2,5.9,55,2,MEDIUM
C0357,Compressor,13,5531,3,0,83.8,5,7.3,74,1,MEDIUM
T0358,Turbine,14,13686,1,0,91.9,6.1,7,78,0,MEDIUM
P0359,Pump,10,6330,1,0,72.8,5.2,9.7,78,0,LOW
T0360,Turbine,11,6510,2,0,79.8,4.5,4.5,69,0,LOW
C0361,Compressor,2,11738,5,0,63.6,6.5,10.3,84,0,MEDIUM
